biorxiv_doi,published_doi,preprint_platform,preprint_category,preprint_date,published_date,quarter
10.1101/002790,10.1371/journal.pone.0093987,bioRxiv,Developmental Biology,2014-02-18,2014-04-09,2014-04
10.1101/004820,10.1111/1365-2745.12259,bioRxiv,Ecology,2014-05-06,2014-05-07,2014-04
10.1101/001941,10.1111/2041-210X.12206,bioRxiv,Ecology,2014-01-21,2014-05-01,2014-04
10.1101/004135,10.1016/j.evolhumbehav.2014.04.003,bioRxiv,Evolutionary Biology,2014-04-11,2014-04-27,2014-04
10.1101/001933,10.1111/mec.12755,bioRxiv,Evolutionary Biology,2014-01-21,2014-05-20,2014-04
10.1101/005223,10.1016/j.evolhumbehav.2014.04.001,bioRxiv,Evolutionary Biology,2014-05-16,2014-04-13,2014-04
10.1101/001073,10.1534/genetics.114.164350,bioRxiv,Genetics,2013-12-02,2014-04-02,2014-04
10.1101/004853,10.1371/journal.pgen.1004402,bioRxiv,Genomics,2014-05-06,2014-05-29,2014-04
10.1101/001388,10.1093/molbev/msu121,bioRxiv,Genomics,2013-12-16,2014-04-08,2014-04
10.1101/003533,10.1016/j.bbrc.2014.04.093,bioRxiv,Plant Biology,2014-03-26,2014-05-23,2014-04
10.1101/000448,10.1021/sb500024b,bioRxiv,Synthetic Biology,2013-11-15,2014-05-15,2014-04
10.1101/000927,10.1371/journal.pone.0097272,bioRxiv,Systems Biology,2013-11-25,2014-05-28,2014-04
10.1101/004317,10.1093/nar/gku511,bioRxiv,Molecular Biology,2014-04-18,2014-06-09,2014-04
10.1101/002717,10.7717/peerj.434,bioRxiv,Zoology,2014-02-14,2014-06-10,2014-04
10.1101/002071,10.1007/s12035-014-8770-1,bioRxiv,Neuroscience,2014-01-26,2014-06-07,2014-04
10.1101/005561,10.1016/j.mbs.2014.06.002,bioRxiv,Evolutionary Biology,2014-05-28,2014-06-14,2014-04
10.1101/002808,10.1371/journal.pone.0099117,bioRxiv,Evolutionary Biology,2014-02-18,2014-06-05,2014-04
10.1101/003640,10.1093/bioinformatics/btu390,bioRxiv,Bioinformatics,2014-03-28,2014-06-14,2014-04
10.1101/006072,10.1093/icb/icu080,bioRxiv,Developmental Biology,2014-06-07,2014-06-15,2014-04
10.1101/002899,10.1093/molbev/msu173,bioRxiv,Evolutionary Biology,2014-02-20,2014-05-24,2014-04
10.1101/003194,10.1093/emph/eou018,bioRxiv,Evolutionary Biology,2014-03-05,2014-06-09,2014-04
10.1101/005710,10.1093/hmg/ddu285,bioRxiv,Neuroscience,2014-05-31,2014-06-19,2014-04
10.1101/000653,10.1242/bio.20148409,bioRxiv,Developmental Biology,2013-11-18,2014-06-20,2014-04
10.1101/001545,10.1186/1471-2105-15-220,bioRxiv,Bioinformatics,2013-12-22,2014-06-25,2014-04
10.1101/005017,10.1371/journal.pgen.1004434,bioRxiv,Evolutionary Biology,2014-05-09,2014-06-26,2014-04
10.1101/000109,10.1371/journal.pgen.1004410,bioRxiv,Evolutionary Biology,2013-11-07,2014-06-26,2014-04
10.1101/002493,10.1371/journal.pone.0100163,bioRxiv,Evolutionary Biology,2014-02-07,2014-06-23,2014-04
10.1101/003004,10.1007/s00239-014-9628-x,bioRxiv,Evolutionary Biology,2014-02-25,2014-06-01,2014-04
10.1101/001784,10.1126/science.1250939,bioRxiv,Evolutionary Biology,2014-01-13,2014-06-27,2014-04
10.1101/005348,10.1038/ng.3015,bioRxiv,Genetics,2014-05-21,2014-05-30,2014-04
10.1101/004614,10.1186/1471-2164-15-494,bioRxiv,Genomics,2014-04-29,2014-06-19,2014-04
10.1101/004341,10.1073/pnas.1409572111,bioRxiv,Immunology,2014-04-21,2014-05-22,2014-04
10.1101/005371,10.1186/gb-2014-15-6-r86,bioRxiv,Genomics,2014-05-21,2014-06-30,2014-04
10.1101/005462,10.1186/gb-2014-15-6-r88,bioRxiv,Genomics,2014-05-23,2014-06-30,2014-04
10.1101/001008,10.15252/msb.20134955,bioRxiv,Synthetic Biology,2013-12-02,2014-06-25,2014-04
10.1101/000075,10.1109/ACC.2014.6859452,bioRxiv,Evolutionary Biology,2013-11-07,2014-06-04,2014-04
10.1101/009696,10.1111/1755-0998.12280,bioRxiv,Genetics,2014-09-26,2014-06-11,2014-04
10.1101/001909,10.1093/hmg/ddu309,bioRxiv,Genomics,2014-01-17,2014-06-16,2014-04
10.1101/001099,10.1371/journal.pone.0096788,bioRxiv,Genetics,2013-12-03,2014-05-09,2014-04
10.1101/002618,10.1007/s00251-014-0784-3,bioRxiv,Immunology,2014-02-12,2014-06-04,2014-04
10.1101/003228,10.1111/1365-2664.12302,bioRxiv,Ecology,2014-03-05,2014-06-30,2014-04
10.1101/004739,10.1016/j.patcog.2013.10.014,bioRxiv,Bioinformatics,2014-05-05,2014-07-01,2014-07
10.1101/001917,10.1098/rsif.2014.0320,bioRxiv,Microbiology,2014-01-21,2014-08-06,2014-07
10.1101/003541,10.1073/pnas.1405500111,bioRxiv,Genetics,2014-03-24,2014-07-07,2014-07
10.1101/003202,10.1093/hmg/ddu359,bioRxiv,Cell Biology,2014-03-05,2014-07-11,2014-07
10.1101/003269,10.1371/journal.pone.0101851,bioRxiv,Ecology,2014-03-12,2014-07-11,2014-07
10.1101/002683,10.1098/rstb.2013.0252,bioRxiv,Evolutionary Biology,2014-02-14,2014-07-07,2014-07
10.1101/005041,10.7554/eLife.03300,bioRxiv,Microbiology,2014-05-12,2014-07-08,2014-07
10.1101/004499,10.1093/nar/gku604,bioRxiv,Synthetic Biology,2014-04-24,2014-07-10,2014-07
10.1101/003376,10.1371/journal.pcbi.1003757,bioRxiv,Bioinformatics,2014-03-17,2014-07-24,2014-07
10.1101/006890,10.1098/rspb.2014.0296,bioRxiv,Biophysics,2014-07-03,2014-07-23,2014-07
10.1101/006916,10.1242/bio.20149399,bioRxiv,Cell Biology,2014-07-04,2014-07-25,2014-07
10.1101/004424,10.1534/genetics.114.165571,bioRxiv,Evolutionary Biology,2014-04-23,2014-07-24,2014-07
10.1101/003848,10.1093/molbev/msu220,bioRxiv,Evolutionary Biology,2014-04-03,2014-07-24,2014-07
10.1101/007203,10.7554/eLife.03401,bioRxiv,Synthetic Biology,2014-07-17,2014-07-17,2014-07
10.1101/002295,10.1371/journal.pcbi.1003696,bioRxiv,Bioinformatics,2014-02-03,2014-07-17,2014-07
10.1101/003921,10.1073/pnas.1407207111,bioRxiv,Evolutionary Biology,2014-04-08,2014-07-28,2014-07
10.1101/003889,10.1007/s11434-014-0499-8,bioRxiv,Biophysics,2014-06-04,2014-07-19,2014-07
10.1101/003400,10.1016/j.nicl.2014.07.002,bioRxiv,Neuroscience,2014-03-18,2014-07-28,2014-07
10.1101/000026,10.1371/journal.pgen.1004412,bioRxiv,Genetics,2013-11-07,2014-08-07,2014-07
10.1101/007377,10.1371/journal.pone.0104244,bioRxiv,Scientific Communication and Education,2014-07-23,2014-08-13,2014-07
10.1101/007708,10.1098/rsbl.2014.0497,bioRxiv,Animal Behavior and Cognition,2014-08-06,2014-08-27,2014-07
10.1101/007096,10.1098/rspb.2014.1025,bioRxiv,Evolutionary Biology,2014-07-14,2014-08-20,2014-07
10.1101/007401,10.1093/bioinformatics/btu555,bioRxiv,Bioinformatics,2014-07-23,2014-08-20,2014-07
10.1101/005611,10.1371/journal.pone.0103207,bioRxiv,Bioinformatics,2014-05-28,2014-08-13,2014-07
10.1101/003723,10.1093/bioinformatics/btu533,bioRxiv,Bioinformatics,2014-04-03,2014-08-01,2014-07
10.1101/004465,10.1093/sysbio/syu057,bioRxiv,Evolutionary Biology,2014-04-23,2014-07-30,2014-07
10.1101/006023,10.1093/gbe/evu166,bioRxiv,Evolutionary Biology,2014-06-06,2014-07-30,2014-07
10.1101/005603,10.1038/ncomms5689,bioRxiv,Genetics,2014-05-27,2014-08-19,2014-07
10.1101/001453,10.1371/journal.pone.0103813,bioRxiv,Genetics,2013-12-17,2014-08-15,2014-07
10.1101/006437,10.1534/genetics.114.167866,bioRxiv,Genetics,2014-06-20,2014-08-12,2014-07
10.1101/004671,10.1101/gr.177774.114,bioRxiv,Genomics,2014-05-01,2014-08-18,2014-07
10.1101/004010,10.1093/nar/gku672,bioRxiv,Genomics,2014-04-09,2014-07-31,2014-07
10.1101/006726,10.1038/nmeth.3047,bioRxiv,Genomics,2014-06-28,2014-07-30,2014-07
10.1101/001883,10.1093/bioinformatics/btu523,bioRxiv,Immunology,2014-01-17,2014-08-05,2014-07
10.1101/003350,10.1093/gbe/evu169,bioRxiv,Microbiology,2014-03-17,2014-08-08,2014-07
10.1101/003871,10.1186/s12915-014-0063-7,bioRxiv,Developmental Biology,2014-04-07,2014-08-14,2014-07
10.1101/008516,10.1016/j.jinsphys.2014.05.025,bioRxiv,Animal Behavior and Cognition,2014-08-28,2014-09-02,2014-07
10.1101/004127,10.1098/rsif.2013.1095,bioRxiv,Biochemistry,2014-04-14,2014-08-27,2014-07
10.1101/007567,10.1093/bioinformatics/btu590,bioRxiv,Bioinformatics,2014-07-29,2014-08-29,2014-07
10.1101/003210,10.1261/rna.045286.114,bioRxiv,Bioinformatics,2014-03-05,2014-08-21,2014-07
10.1101/003731,10.1186/1471-2164-15-717,bioRxiv,Bioinformatics,2014-04-02,2014-08-25,2014-07
10.1101/005082,10.1093/bioinformatics/btu563,bioRxiv,Bioinformatics,2014-05-12,2014-08-21,2014-07
10.1101/004986,10.1007/s00442-014-3041-4,bioRxiv,Ecology,2014-05-09,2014-08-26,2014-07
10.1101/003780,10.1007/s00285-014-0824-5,bioRxiv,Evolutionary Biology,2014-04-03,2014-08-24,2014-07
10.1101/005090,10.1093/bioinformatics/btu562,bioRxiv,Genetics,2014-05-14,2014-08-22,2014-07
10.1101/008524,10.1016/j.jinsphys.2014.07.001,bioRxiv,Ecology,2014-08-28,2014-07-16,2014-07
10.1101/006387,10.1016/j.tig.2014.07.008,bioRxiv,Genetics,2014-06-18,2014-08-30,2014-07
10.1101/007310,10.7554/eLife.03703,bioRxiv,Synthetic Biology,2014-07-21,2014-08-19,2014-07
10.1101/005868,10.1101/cshperspect.a016030,bioRxiv,Evolutionary Biology,2014-06-04,2014-09-01,2014-07
10.1101/001834,10.1371/journal.pone.0106689,bioRxiv,Genomics,2014-01-21,2014-09-04,2014-07
10.1101/002642,10.1038/srep06207,bioRxiv,Bioinformatics,2014-02-14,2014-08-27,2014-07
10.1101/001305,10.1371/journal.pone.0106541,bioRxiv,Bioengineering,2013-12-10,2014-09-05,2014-07
10.1101/005835,10.1371/journal.ppat.1004325,bioRxiv,Microbiology,2014-06-03,2014-09-04,2014-07
10.1101/007450,10.1523/JNEUROSCI.2671-13.2014,bioRxiv,Neuroscience,2014-07-25,2014-09-03,2014-07
10.1101/004234,10.1534/genetics.114.168948,bioRxiv,Genomics,2014-04-17,2014-09-03,2014-07
10.1101/007047,10.1093/gbe/evu197,bioRxiv,Evolutionary Biology,2014-07-11,2014-09-04,2014-07
10.1101/005058,10.1007/s00412-014-0483-8,bioRxiv,Genomics,2014-05-12,2014-09-05,2014-07
10.1101/006452,10.1534/genetics.114.166793,bioRxiv,Genomics,2014-06-24,2014-09-05,2014-07
10.1101/001321,10.1038/onc.2014.279,bioRxiv,Cancer Biology,2013-12-10,2014-09-08,2014-07
10.1101/004481,10.1007/s00239-014-9644-x,bioRxiv,Evolutionary Biology,2014-04-24,2014-09-13,2014-07
10.1101/005926,10.1016/j.conb.2014.08.002,bioRxiv,Neuroscience,2014-06-04,2014-09-15,2014-07
10.1101/001198,10.1038/mp.2014.99,bioRxiv,Neuroscience,2013-12-10,2014-09-16,2014-07
10.1101/001552,10.1038/nature13673,bioRxiv,Genetics,2013-12-23,2014-09-18,2014-07
10.1101/003673,10.1371/journal.pcbi.1003803,bioRxiv,Evolutionary Biology,2014-03-30,2014-09-18,2014-07
10.1101/007039,10.1098/rspb.2014.1739,bioRxiv,Evolutionary Biology,2014-07-10,2014-09-17,2014-07
10.1101/003442,10.1098/rspb.2014.1677,bioRxiv,Evolutionary Biology,2014-03-19,2014-09-17,2014-07
10.1101/005652,10.1016/j.gde.2014.08.011,bioRxiv,Evolutionary Biology,2014-05-28,2014-09-18,2014-07
10.1101/006171,10.1371/journal.pgen.1004663,bioRxiv,Genomics,2014-06-11,2014-09-18,2014-07
10.1101/001107,10.1101/gr.181016.114,bioRxiv,Cancer Biology,2013-12-03,2014-09-29,2014-07
10.1101/002824,10.1093/bioinformatics/btu638,bioRxiv,Bioinformatics,2014-02-20,2014-09-25,2014-07
10.1101/002352,10.1093/nar/gku847,bioRxiv,Bioinformatics,2014-02-04,2014-09-18,2014-07
10.1101/008847,10.1186/s13059-014-0465-4,bioRxiv,Bioinformatics,2014-09-06,2014-09-23,2014-07
10.1101/004762,10.7554/eLife.03430,bioRxiv,Bioinformatics,2014-05-06,2014-09-25,2014-07
10.1101/007724,10.1371/journal.pone.0108490,bioRxiv,Bioinformatics,2014-08-07,2014-09-23,2014-07
10.1101/006411,10.1093/molbev/msu270,bioRxiv,Evolutionary Biology,2014-06-19,2014-09-21,2014-07
10.1101/002428,10.1371/journal.pgen.1004622,bioRxiv,Evolutionary Biology,2014-02-10,2014-09-25,2014-07
10.1101/001347,10.1093/molbev/msu269,bioRxiv,Evolutionary Biology,2013-12-11,2014-09-22,2014-07
10.1101/000414,10.1016/j.tig.2014.08.006,bioRxiv,Genetics,2013-11-14,2014-09-29,2014-07
10.1101/001792,10.1186/2041-2223-5-13,bioRxiv,Genetics,2014-01-13,2014-09-24,2014-07
10.1101/009571,10.1016/j.coviro.2014.08.001,bioRxiv,Evolutionary Biology,2014-09-25,2014-08-25,2014-07
10.1101/008839,10.1016/j.jtbi.2014.09.018,bioRxiv,Cancer Biology,2014-09-04,2014-09-28,2014-07
10.1101/008029,10.1650/CONDOR-13-142.1,bioRxiv,Zoology,2014-08-14,2014-09-24,2014-07
10.1101/005207,10.1371/journal.pone.0107026,bioRxiv,Bioinformatics,2014-05-14,2014-09-30,2014-07
10.1101/005470,10.7717/peerj.588,bioRxiv,Biophysics,2014-05-24,2014-09-23,2014-07
10.1101/007773,10.7717/peerj.597,bioRxiv,Microbiology,2014-08-08,2014-09-30,2014-07
10.1101/007609,10.3389/fgene.2014.00329,bioRxiv,Bioinformatics,2014-08-01,2014-09-25,2014-07
10.1101/005355,10.1186/s13068-014-0124-8,bioRxiv,Bioinformatics,2014-05-21,2014-09-08,2014-07
10.1101/001370,10.1038/nmeth.3069,bioRxiv,Bioinformatics,2013-12-13,2014-08-17,2014-07
10.1101/003517,10.1016/j.tig.2014.07.007,bioRxiv,Evolutionary Biology,2014-03-21,2014-09-01,2014-07
10.1101/003384,10.1007/s11538-014-0013-0,bioRxiv,Systems Biology,2014-03-17,2014-09-04,2014-07
10.1101/006361,10.12688/f1000research.4669.1,bioRxiv,Bioinformatics,2014-06-23,2014-09-12,2014-07
10.1101/008151,10.1007/s11692-014-9293-4,bioRxiv,Evolutionary Biology,2014-08-19,2014-08-27,2014-07
10.1101/014175,10.1016/j.jmb.2014.06.002,bioRxiv,Molecular Biology,2015-01-23,2014-08-12,2014-07
10.1101/015727,10.1038/nmeth.3046,bioRxiv,Genetics,2015-02-26,2014-08-03,2014-07
10.1101/004648,10.3389/fimmu.2014.00326,bioRxiv,Immunology,2014-04-30,2014-07-28,2014-07
10.1101/000562,10.1007/s11538-014-0023-y,bioRxiv,Systems Biology,2013-11-18,2014-09-18,2014-07
10.1101/001362,10.1371/journal.pone.0102170,bioRxiv,Microbiology,2013-12-12,2014-07-21,2014-07
10.1101/001610,10.1111/aje.12148,bioRxiv,Ecology,2013-12-30,2014-07-02,2014-07
10.1101/001966,10.1261/rna.044321.114,bioRxiv,Biochemistry,2014-01-22,2014-09-02,2014-07
10.1101/002444,10.1371/journal.pone.0108188,bioRxiv,Cell Biology,2014-02-06,2014-09-22,2014-07
10.1101/002873,10.1098/rsif.2014.0672,bioRxiv,Evolutionary Biology,2014-02-20,2014-08-20,2014-07
10.1101/003574,10.1371/journal.pone.0103516,bioRxiv,Evolutionary Biology,2014-03-27,2014-08-18,2014-07
10.1101/007120,10.3389/fgene.2014.00324,bioRxiv,Bioinformatics,2014-07-15,2014-09-16,2014-07
10.1101/2020.08.21.248476,10.1016/j.aogh.2014.08.157,bioRxiv,scientific communication and education,2020-08-24,2014-09-25,2014-07
10.1101/003285,10.1101/gr.174920.114,bioRxiv,Bioinformatics,2014-03-10,2014-10-01,2014-10
10.1101/004887,10.1080/17513758.2014.962631,bioRxiv,Ecology,2014-05-07,2014-10-02,2014-10
10.1101/001537,10.1017/S0950268814002520,bioRxiv,Ecology,2013-12-26,2014-10-02,2014-10
10.1101/003053,10.1073/pnas.1404341111,bioRxiv,Cancer Biology,2014-02-26,2014-10-02,2014-10
10.1101/000125,10.1016/j.ejca.2014.08.019,bioRxiv,Cancer Biology,2013-11-07,2014-10-08,2014-10
10.1101/006585,10.1093/nar/gku864,bioRxiv,Bioinformatics,2014-06-25,2014-10-07,2014-10
10.1101/006221,10.1101/gr.175893.114,bioRxiv,Genomics,2014-06-11,2014-10-07,2014-10
10.1101/000919,10.1371/journal.pone.0108358,bioRxiv,Bioinformatics,2013-11-25,2014-10-09,2014-10
10.1101/008482,10.1038/ncomms6187,bioRxiv,Genetics,2014-08-27,2014-10-10,2014-10
10.1101/006932,10.1186/s12918-014-0117-z,bioRxiv,Systems Biology,2014-07-09,2014-10-15,2014-10
10.1101/007864,10.1534/g3.114.013979,bioRxiv,Developmental Biology,2014-08-11,2014-10-15,2014-10
10.1101/008805,10.1534/genetics.112.145359,bioRxiv,Genomics,2014-09-04,2014-10-15,2014-10
10.1101/007591,10.1038/ncomms6195,bioRxiv,Genomics,2014-08-01,2014-10-20,2014-10
10.1101/001750,10.7717/peerj.632,bioRxiv,Biophysics,2014-01-13,2014-10-16,2014-10
10.1101/003319,10.1371/journal.pgen.1004692,bioRxiv,Genetics,2014-03-16,2014-10-23,2014-10
10.1101/006866,10.1038/gene.2014.56,bioRxiv,Genomics,2014-07-03,2014-10-23,2014-10
10.1101/006635,10.1523/JNEUROSCI.2767-14.2014,bioRxiv,Neuroscience,2014-06-27,2014-10-22,2014-10
10.1101/000778,10.1371/journal.pcbi.1003871,bioRxiv,Systems Biology,2013-11-20,2014-10-23,2014-10
10.1101/009563,10.1038/ncomms6281,bioRxiv,Evolutionary Biology,2014-09-24,2014-10-27,2014-10
10.1101/006809,10.1038/nn.3812,bioRxiv,Animal Behavior and Cognition,2014-07-02,2014-10-28,2014-10
10.1101/007757,10.1111/mec.12977,bioRxiv,Ecology,2014-08-08,2014-10-24,2014-10
10.1101/008144,10.1093/nar/gku1038,bioRxiv,Genomics,2014-08-19,2014-10-27,2014-10
10.1101/006148,10.1186/s13073-014-0089-z,bioRxiv,Bioinformatics,2014-06-10,2014-10-28,2014-10
10.1101/003962,10.1093/bioinformatics/btu713,bioRxiv,Bioinformatics,2014-04-07,2014-10-28,2014-10
10.1101/002279,10.1371/journal.pone.0110808,bioRxiv,Genomics,2014-01-30,2014-10-29,2014-10
10.1101/006601,10.1371/journal.pbio.1001983,bioRxiv,Genomics,2014-06-25,2014-11-04,2014-10
10.1101/010645,10.1093/molbev/msu301,bioRxiv,Evolutionary Biology,2014-10-23,2014-11-03,2014-10
10.1101/004713,10.1534/g3.114.014274,bioRxiv,Genetics,2014-05-04,2014-11-03,2014-10
10.1101/009134,10.7717/peerj.642,bioRxiv,Genomics,2014-09-15,2014-10-28,2014-10
10.1101/006841,10.1101/gr.180893.114,bioRxiv,Genomics,2014-07-03,2014-11-04,2014-10
10.1101/009456,10.1371/journal.pone.0110579,bioRxiv,Evolutionary Biology,2014-09-24,2014-11-10,2014-10
10.1101/002766,10.1186/1471-2164-15-966,bioRxiv,Genomics,2014-02-17,2014-11-08,2014-10
10.1101/002006,10.1186/1471-2164-15-962,bioRxiv,Genomics,2014-01-23,2014-11-07,2014-10
10.1101/006270,10.7554/eLife.03915,bioRxiv,Genomics,2014-06-12,2014-11-07,2014-10
10.1101/009613,10.1186/2047-217X-3-22,bioRxiv,Genomics,2014-09-26,2014-10-20,2014-10
10.1101/005447,10.1038/ncomms6336,bioRxiv,Genomics,2014-07-02,2014-11-12,2014-10
10.1101/007187,10.1186/s12915-014-0087-z,bioRxiv,Molecular Biology,2014-07-16,2014-11-12,2014-10
10.1101/002550,10.1523/JNEUROSCI.0551-14.2014,bioRxiv,Neuroscience,2014-02-09,2014-11-12,2014-10
10.1101/003954,10.1093/bioinformatics/btu756,bioRxiv,Bioinformatics,2014-04-06,2014-11-13,2014-10
10.1101/005579,10.1186/s13059-014-0509-9,bioRxiv,Bioinformatics,2014-05-27,2014-11-15,2014-10
10.1101/005694,10.3389/fmicb.2014.00577,bioRxiv,Genetics,2014-05-31,2014-10-31,2014-10
